Stop_Name,Stop_ID,latitude,longitude
CEBESOY CD-9,10504,36.8794453,30.7141283
CEBESOY CD-10,10505,36.8825273,30.713859
ISMAIL OGAN CD,10506,36.9734411,30.8334395
277 SK-3,10507,36.8543745,30.6020844
36.CD-4,10508,36.8523942,30.6021152
36.CD-5,10509,36.8512651,30.5999976
AKDENIZ BLV-2,10511,36.850695,30.62268
AKDENIZ BLV-3,10512,36.854467,30.627775
AKDENIZ BLV-5,10514,36.861762,30.638041
KONYAALTI BELEDIYESI,10515,36.864392,30.642623
AKDENIZ BLV-7,10516,36.866726,30.646051
AKDENIZ BLV-8,10517,36.868996,30.649496
AKDENIZ BLV-9,10518,36.871705,30.653655
AKDENIZ BLV-10,10519,36.873291,30.656086
AKVARYUM,10520,36.875674,30.659314
PERGE BLV-6,10521,36.8744965,30.732096
PERGE BLV-8,10523,36.8806807,30.7390321
PERGE BLV-9,10524,36.8825819,30.7398193
PERGE BLV-1,10526,36.885833,30.739267
PERGE BLV-3,10528,36.8803265,30.7383546
KONYAALTI CD-2,10529,36.885565,30.696203
PERGE BLV-5,10530,36.874522,30.73168
KONYAALTI CD-2,10531,36.8852789,30.6914785
KONYAALTI CD-3,10532,36.8850008,30.6863036
KONYAALTI CD-4,10533,36.8848286,30.6822583
DUMLUPINAR BLV-6,10534,36.8812378,30.6616427
AKDENIZ BLV-11,10535,36.876191,30.659585
AKDENIZ  BLV-12,10536,36.871342,30.652884
AKDENIZ  BLV-14,10538,36.867167,30.646435
KONYAALTI BELEDIYESI,10539,36.864982,30.643115
AKDENIZ  BLV-16,10541,36.857309,30.631075
AKDENIZ  BLV-17,10542,36.854923,30.628067
AKDENIZ  BLV-18,10543,36.850802,30.622689
AKDENIZ  BLV-19,10544,36.8495661,30.6209757
ANAFARTALAR CD-3,10545,36.8957343,30.692062
ATATURK DEVLET HASTANESI,10546,36.898203,30.690598
VATAN BLV-1,10547,36.901184,30.688599
MITHATPASA CD-4,10552,36.9138804,30.6877488
MITHATPASA CD-5,10553,36.915555,30.686488
MITHATPASA CD-6,10554,36.91763,30.684965
MITHATPASA CD,10555,36.9201046,30.6839038
GALIP KUSCUOGLU CD-1,10557,36.923561,30.68691
6375 SK-1,10562,36.931953,30.683249
6375 SK-2,10563,36.9324011,30.6785962
6375 SK-3,10564,36.9357356,30.6760061
6410 SK-1,10566,36.9438607,30.689224
6410 SK-2,10567,36.946727,30.687681
6454.SK,10568,36.9532336,30.6856669
6444.SK,10569,36.9505115,30.6820297
BARIS MANCO CD-1,10570,36.949558,30.679205
6375.SK-4,10571,36.9429079,30.6740514
2936.SK-2,10573,36.9274571,30.6840589
2908.SK-2,10574,36.9240142,30.6867943
2368.SK,10575,36.921325,30.68642
MITHATPASA CD-7,10576,36.9173461,30.6849614
MITHATPASA CD-8,10577,36.916469,30.685572
MITHATPASA CD-9,10578,36.915404,30.686351
MITHATPASA CD-10 ,10579,36.91362,30.687664
MITHATPASA CD-11,10580,36.911894,30.68895
MITHATPASA CD-12,10581,36.9106169,30.6899813
VATAN BLV-3,10583,36.9036814,30.6841812
VATAN BLV-4,10584,36.9010982,30.6882194
ATATURK DEVLET HASTANESI,10585,36.8980023,30.6904821
ANAFARTALAR CD-2,10586,36.8955652,30.691939
MELTEM BLV-6,10587,36.8926746,30.6664841
ADLIYE,10588,36.8944155,30.6654616
IL JANDARMA KOMUTANLIGI,10589,36.8986832,30.6658466
HURRIYET CD-1,10590,36.9009891,30.6605217
HURRIYET CD-2,10591,36.9007165,30.6566865
75.YIL CD-1,10592,36.9053277,30.650403
75.YIL CD-2,10593,36.9086377,30.6483861
DUMLUPINAR BLV-10 ,10597,36.9146596,30.6660395
OTOGAR DURAGI,10598,36.917517,30.6673665
4980 SK,10601,36.931426,30.6698361
4979.SK,10603,36.9407046,30.6561864
5370.SK-2,10604,36.947697,30.6586477
3453.SK,10605,36.948407,30.654977
3403 SOKAK,10606,36.9476522,30.6520214
3403.SK-2,10607,36.9442766,30.6506195
4980.SK-1,10608,36.936865,30.666395
4980 SK,10611,36.940428,30.663308
4980 SOKAK,10612,36.938915,30.665169
4980.SK-4,10613,36.9343178,30.6677215
4980.SK-5,10614,36.9278169,30.6711245
DUMLUPINAR BLV-13,10616,36.9174854,30.666223
DUMLUPINAR BLV-14,10617,36.915672,30.66539
DUMLUPINAR BLV-15,10618,36.9134409,30.6643861
DUMLUPINAR BLV-16,10619,36.9102042,30.66301
HURRIYET CD-12,10622,36.900181,30.656023
HURRIYET CD-13,10623,36.9007045,30.6611843
KAZIM KARABEKIR CD-1,10624,36.8936805,30.6802143
KAZIM KARABEKIR CD-2,10625,36.8962957,30.6804287
KAZIM KARABEKIR CD-3,10626,36.898752,30.6805715
KAZIM KARABEKIR CD-4,10627,36.902495,30.680806
KAZIM KARABEKIR CD-5,10628,36.9042867,30.6801386
NAMIK KEMAL BLV-1,10629,36.909498,30.680035
NAMIK KEMAL BLV-2,10630,36.911548,30.67846
ANTKOOP,10632,36.9170537,30.6896021
YILDIRIM BEYAZIT CD-1,10633,36.919665,30.693938
BARIS MANCO  BLV-1,10635,36.9255124,30.690785
2906.SK,10636,36.925724,30.6870288
6350.SK,10639,36.9347011,30.6744109
6318.SK,10640,36.9315489,30.6755574
6109.SK-1,10641,36.9284702,30.6829636
BARIS MANCO BLV-6,10644,36.925009,30.691104
YILDIRIM BEYAZIT CD-2,10645,36.9231247,30.6919359
YILDIRIM BEYAZIT CD,10647,36.9174084,30.693895
2617.SK-2,10648,36.9175044,30.6915901
ANTKOOP,10649,36.9172672,30.6892648
BARIS TAKSI,10650,36.9167302,30.6846284
CAGLAYAN ANADOLU LISESI,10651,36.9149074,30.6807098
NAMIK KEMAL BULVARI,10653,36.9126276,30.677173
NAMIK KEMAL BLV-8,10654,36.9093645,30.6796747
281 SK,10655,36.9041823,30.6822703
